ID,Cluster
10,C1_2020
100,C2_2020
1000,C3_2020
1001,C4_2020
101,C5_2020
102,C6_2020
103,C7_2020
104,C8_2020
105,C9_2020
106,C10_2020
107,C11_2020
108,C12_2020
109,C13_2020
11,C14_2020
110,C15_2020
111,C16_2020
112,C17_2020
113,C18_2020
114,C19_2020
115,C20_2020
116,C21_2020
117,C22_2020
118,C23_2020
119,C24_2020
12,C25_2020
120,C26_2020
121,C27_2020
122,C28_2020
123,C29_2020
124,C30_2020
125,C31_2020
126,C32_2020
127,C33_2020
128,C34_2020
129,C35_2020
13,C36_2020
130,C37_2020
131,C38_2020
132,C39_2020
133,C40_2020
134,C41_2020
135,C42_2020
136,C43_2020
137,C44_2020
138,C45_2020
139,C46_2020
14,C47_2020
140,C48_2020
141,C49_2020
142,C50_2020
143,C51_2020
144,C52_2020
145,C53_2020
146,C54_2020
147,C55_2020
148,C56_2020
149,C57_2020
15,C58_2020
150,C59_2020
151,C60_2020
152,C61_2020
153,C62_2020
154,C63_2020
155,C64_2020
156,C65_2020
157,C66_2020
158,C67_2020
159,C68_2020
16,C69_2020
160,C70_2020
161,C71_2020
162,C72_2020
163,C73_2020
164,C74_2020
165,C75_2020
166,C76_2020
167,C77_2020
168,C78_2020
169,C79_2020
17,C80_2020
170,C81_2020
171,C82_2020
172,C83_2020
173,C84_2020
174,C85_2020
175,C86_2020
176,C87_2020
177,C88_2020
178,C89_2020
179,C90_2020
18,C91_2020
180,C92_2020
181,C93_2020
182,C94_2020
183,C95_2020
184,C96_2020
185,C97_2020
186,C98_2020
187,C99_2020
188,C100_2020
189,C101_2020
19,C102_2020
190,C103_2020
191,C104_2020
192,C105_2020
193,C106_2020
194,C107_2020
195,C108_2020
196,C109_2020
197,C110_2020
198,C111_2020
199,C112_2020
2,C113_2020
20,C114_2020
200,C115_2020
201,C116_2020
202,C117_2020
203,C118_2020
204,C119_2020
205,C120_2020
206,C121_2020
207,C122_2020
208,C123_2020
209,C124_2020
21,C125_2020
210,C126_2020
211,C127_2020
212,C128_2020
213,C129_2020
214,C130_2020
215,C131_2020
216,C132_2020
217,C133_2020
218,C134_2020
219,C135_2020
22,C136_2020
220,C137_2020
221,C138_2020
222,C139_2020
223,C75_2020
224,C140_2020
225,C141_2020
226,C142_2020
227,C143_2020
228,C144_2020
229,C145_2020
23,C146_2020
230,C147_2020
231,C148_2020
232,C149_2020
233,C150_2020
234,C151_2020
235,C152_2020
236,C153_2020
237,C154_2020
238,C155_2020
239,C156_2020
24,C157_2020
240,C158_2020
241,C159_2020
242,C160_2020
243,C161_2020
244,C162_2020
245,C163_2020
246,C164_2020
247,C165_2020
248,C166_2020
249,C167_2020
25,C168_2020
250,C169_2020
251,C170_2020
252,C171_2020
253,C172_2020
254,C173_2020
255,C174_2020
256,C175_2020
257,C176_2020
258,C177_2020
259,C178_2020
26,C179_2020
260,C180_2020
261,C181_2020
262,C182_2020
263,C183_2020
264,C184_2020
265,C185_2020
266,C186_2020
267,C187_2020
268,C188_2020
269,C189_2020
27,C190_2020
270,C191_2020
271,C101_2020
272,C192_2020
273,C193_2020
274,C194_2020
275,C195_2020
276,C196_2020
277,C197_2020
278,C198_2020
279,C117_2020
28,C199_2020
280,C200_2020
281,C201_2020
282,C202_2020
283,C203_2020
284,C204_2020
285,C205_2020
286,C206_2020
287,C207_2020
288,C208_2020
289,C209_2020
29,C210_2020
290,C211_2020
291,C212_2020
292,C213_2020
293,C214_2020
294,C215_2020
295,C216_2020
296,C217_2020
297,C218_2020
298,C219_2020
299,C220_2020
3,C221_2020
30,C213_2020
300,C222_2020
301,C223_2020
302,C224_2020
303,C225_2020
304,C226_2020
305,C227_2020
306,C228_2020
307,C229_2020
308,C230_2020
309,C231_2020
31,C232_2020
310,C233_2020
311,C234_2020
312,C235_2020
313,C236_2020
314,C237_2020
315,C238_2020
316,C239_2020
317,C240_2020
318,C241_2020
319,C242_2020
32,C243_2020
320,C244_2020
321,C245_2020
322,C168_2020
323,C246_2020
324,C247_2020
325,C248_2020
326,C249_2020
327,C250_2020
328,C251_2020
329,C252_2020
33,C253_2020
330,C254_2020
331,C255_2020
332,C256_2020
333,C257_2020
334,C258_2020
335,C259_2020
336,C260_2020
337,C261_2020
338,C262_2020
339,C263_2020
34,C264_2020
340,C265_2020
341,C266_2020
342,C267_2020
343,C211_2020
344,C268_2020
345,C269_2020
346,C270_2020
347,C271_2020
348,C31_2020
349,C272_2020
35,C273_2020
350,C274_2020
351,C275_2020
352,C276_2020
353,C277_2020
354,C278_2020
355,C76_2020
356,C279_2020
357,C280_2020
358,C281_2020
359,C282_2020
36,C283_2020
360,C284_2020
361,C285_2020
362,C286_2020
363,C287_2020
364,C288_2020
365,C289_2020
366,C290_2020
367,C291_2020
368,C292_2020
369,C293_2020
37,C294_2020
370,C295_2020
371,C296_2020
372,C297_2020
373,C298_2020
374,C299_2020
375,C300_2020
376,C301_2020
377,C302_2020
378,C303_2020
379,C304_2020
38,C305_2020
380,C306_2020
381,C307_2020
382,C308_2020
383,C309_2020
384,C105_2020
385,C310_2020
386,C311_2020
387,C312_2020
388,C313_2020
389,C314_2020
39,C315_2020
390,C316_2020
391,C317_2020
392,C318_2020
393,C319_2020
394,C320_2020
395,C321_2020
396,C322_2020
397,C323_2020
398,C324_2020
399,C325_2020
4,C326_2020
40,C327_2020
400,C328_2020
401,C329_2020
402,C330_2020
403,C331_2020
404,C332_2020
405,C333_2020
406,C334_2020
407,C335_2020
408,C336_2020
409,C337_2020
41,C338_2020
410,C339_2020
411,C340_2020
412,C341_2020
413,C141_2020
414,C342_2020
415,C343_2020
416,C344_2020
417,C345_2020
418,C346_2020
419,C347_2020
42,C348_2020
420,C349_2020
421,C350_2020
422,C351_2020
423,C352_2020
424,C353_2020
425,C354_2020
426,C355_2020
427,C356_2020
428,C357_2020
429,C358_2020
43,C359_2020
430,C296_2020
431,C360_2020
432,C361_2020
433,C362_2020
434,C363_2020
435,C364_2020
436,C365_2020
437,C366_2020
438,C367_2020
439,C368_2020
44,C369_2020
440,C370_2020
441,C371_2020
442,C372_2020
443,C373_2020
444,C6_2020
445,C374_2020
446,C375_2020
447,C376_2020
448,C377_2020
449,C378_2020
45,C379_2020
450,C380_2020
451,C381_2020
452,C382_2020
453,C383_2020
454,C384_2020
455,C385_2020
456,C386_2020
457,C387_2020
458,C388_2020
459,C389_2020
46,C390_2020
460,C391_2020
461,C392_2020
462,C393_2020
463,C394_2020
464,C395_2020
465,C396_2020
466,C397_2020
467,C398_2020
468,C399_2020
469,C400_2020
47,C401_2020
470,C402_2020
471,C403_2020
472,C404_2020
473,C405_2020
474,C134_2020
475,C406_2020
476,C407_2020
477,C346_2020
478,C408_2020
479,C409_2020
48,C410_2020
480,C411_2020
481,C412_2020
482,C413_2020
483,C414_2020
484,C415_2020
485,C416_2020
486,C417_2020
487,C418_2020
488,C419_2020
489,C420_2020
49,C421_2020
490,C422_2020
491,C423_2020
492,C424_2020
493,C425_2020
494,C426_2020
495,C427_2020
496,C428_2020
497,C429_2020
498,C430_2020
499,C431_2020
5,C432_2020
50,C433_2020
500,C434_2020
501,C435_2020
502,C436_2020
503,C437_2020
504,C438_2020
505,C439_2020
506,C440_2020
507,C441_2020
508,C442_2020
509,C443_2020
51,C444_2020
510,C445_2020
511,C446_2020
512,C447_2020
513,C448_2020
514,C449_2020
515,C450_2020
516,C451_2020
517,C452_2020
518,C453_2020
519,C454_2020
52,C455_2020
520,C456_2020
521,C457_2020
522,C458_2020
523,C459_2020
524,C460_2020
525,C461_2020
526,C462_2020
527,C463_2020
528,C464_2020
529,C465_2020
53,C466_2020
530,C467_2020
531,C468_2020
532,C469_2020
533,C470_2020
534,C359_2020
535,C471_2020
536,C472_2020
537,C473_2020
538,C474_2020
539,C475_2020
54,C476_2020
540,C477_2020
541,C478_2020
542,C479_2020
543,C480_2020
544,C481_2020
545,C482_2020
546,C483_2020
547,C484_2020
548,C485_2020
549,C486_2020
55,C487_2020
550,C488_2020
551,C489_2020
552,C490_2020
553,C491_2020
554,C492_2020
555,C493_2020
556,C494_2020
557,C495_2020
558,C369_2020
559,C496_2020
56,C321_2020
560,C497_2020
561,C498_2020
562,C499_2020
563,C500_2020
564,C501_2020
565,C502_2020
566,C503_2020
567,C504_2020
568,C505_2020
569,C506_2020
57,C507_2020
570,C508_2020
571,C509_2020
572,C510_2020
573,C511_2020
574,C512_2020
575,C502_2020
576,C513_2020
577,C514_2020
578,C434_2020
579,C515_2020
58,C516_2020
580,C517_2020
581,C518_2020
582,C519_2020
583,C520_2020
584,C521_2020
585,C522_2020
586,C87_2020
587,C523_2020
588,C195_2020
589,C524_2020
59,C525_2020
590,C526_2020
591,C527_2020
592,C528_2020
593,C529_2020
594,C530_2020
595,C531_2020
596,C532_2020
597,C533_2020
598,C534_2020
599,C535_2020
6,C198_2020
60,C536_2020
600,C537_2020
601,C538_2020
602,C539_2020
603,C540_2020
604,C541_2020
605,C542_2020
606,C543_2020
607,C544_2020
608,C545_2020
609,C546_2020
61,C547_2020
610,C548_2020
611,C549_2020
612,C550_2020
613,C551_2020
614,C552_2020
615,C553_2020
616,C554_2020
617,C555_2020
618,C556_2020
619,C557_2020
62,C558_2020
620,C559_2020
621,C560_2020
622,C561_2020
623,C223_2020
624,C562_2020
625,C563_2020
626,C564_2020
627,C565_2020
628,C566_2020
629,C567_2020
63,C568_2020
630,C569_2020
631,C570_2020
632,C571_2020
633,C558_2020
634,C572_2020
635,C573_2020
636,C574_2020
637,C575_2020
638,C576_2020
639,C577_2020
64,C578_2020
640,C579_2020
641,C580_2020
642,C581_2020
643,C582_2020
644,C583_2020
645,C584_2020
646,C585_2020
647,C586_2020
648,C587_2020
649,C588_2020
65,C589_2020
650,C590_2020
651,C591_2020
652,C592_2020
653,C593_2020
654,C594_2020
655,C595_2020
656,C596_2020
657,C597_2020
658,C598_2020
659,C599_2020
66,C600_2020
660,C601_2020
661,C602_2020
662,C603_2020
663,C604_2020
664,C605_2020
665,C606_2020
666,C607_2020
667,C608_2020
668,C609_2020
669,C610_2020
67,C611_2020
670,C612_2020
671,C613_2020
672,C614_2020
673,C615_2020
674,C616_2020
675,C617_2020
676,C618_2020
677,C619_2020
678,C620_2020
679,C621_2020
68,C622_2020
680,C623_2020
681,C624_2020
682,C625_2020
683,C191_2020
684,C626_2020
685,C627_2020
686,C628_2020
687,C629_2020
688,C630_2020
689,C117_2020
69,C631_2020
690,C632_2020
691,C633_2020
692,C634_2020
693,C635_2020
694,C636_2020
695,C637_2020
696,C638_2020
697,C639_2020
698,C640_2020
699,C641_2020
7,C642_2020
70,C643_2020
700,C644_2020
701,C645_2020
702,C646_2020
703,C647_2020
704,C648_2020
705,C580_2020
706,C649_2020
707,C650_2020
708,C651_2020
709,C652_2020
71,C653_2020
710,C654_2020
711,C655_2020
712,C656_2020
713,C657_2020
714,C658_2020
715,C659_2020
716,C660_2020
717,C661_2020
718,C662_2020
719,C663_2020
72,C664_2020
720,C665_2020
721,C666_2020
722,C667_2020
723,C668_2020
724,C669_2020
725,C670_2020
726,C671_2020
727,C672_2020
728,C673_2020
729,C674_2020
73,C675_2020
730,C676_2020
731,C677_2020
732,C678_2020
733,C679_2020
734,C680_2020
735,C681_2020
736,C682_2020
737,C683_2020
738,C684_2020
739,C685_2020
74,C686_2020
740,C687_2020
741,C688_2020
742,C689_2020
743,C690_2020
744,C691_2020
745,C692_2020
746,C693_2020
747,C694_2020
748,C695_2020
749,C696_2020
75,C697_2020
750,C698_2020
751,C699_2020
752,C700_2020
753,C701_2020
754,C702_2020
755,C703_2020
756,C704_2020
757,C705_2020
758,C706_2020
759,C707_2020
76,C708_2020
760,C709_2020
761,C710_2020
762,C711_2020
763,C712_2020
764,C713_2020
765,C714_2020
766,C715_2020
767,C716_2020
768,C717_2020
769,C718_2020
77,C719_2020
770,C720_2020
771,C721_2020
772,C722_2020
773,C723_2020
774,C724_2020
775,C725_2020
776,C726_2020
777,C212_2020
778,C727_2020
779,C511_2020
78,C728_2020
780,C729_2020
781,C730_2020
782,C731_2020
783,C708_2020
784,C732_2020
785,C733_2020
786,C734_2020
787,C641_2020
788,C735_2020
789,C29_2020
79,C736_2020
790,C737_2020
791,C738_2020
792,C739_2020
793,C740_2020
794,C741_2020
795,C742_2020
796,C743_2020
797,C744_2020
798,C745_2020
799,C746_2020
8,C718_2020
80,C747_2020
800,C380_2020
801,C748_2020
802,C749_2020
803,C750_2020
804,C751_2020
805,C752_2020
806,C753_2020
807,C754_2020
808,C755_2020
809,C104_2020
81,C756_2020
810,C757_2020
811,C758_2020
812,C759_2020
813,C760_2020
814,C286_2020
815,C239_2020
816,C761_2020
817,C762_2020
818,C763_2020
819,C764_2020
82,C765_2020
820,C766_2020
821,C767_2020
822,C768_2020
823,C769_2020
824,C770_2020
825,C771_2020
826,C772_2020
827,C773_2020
828,C774_2020
829,C775_2020
83,C776_2020
830,C777_2020
831,C778_2020
832,C779_2020
833,C780_2020
834,C781_2020
835,C782_2020
836,C783_2020
837,C784_2020
838,C785_2020
839,C786_2020
84,C787_2020
840,C788_2020
841,C789_2020
842,C790_2020
843,C791_2020
844,C792_2020
845,C793_2020
846,C794_2020
847,C795_2020
848,C796_2020
849,C797_2020
85,C798_2020
850,C799_2020
851,C289_2020
852,C800_2020
853,C801_2020
854,C802_2020
855,C803_2020
856,C804_2020
857,C805_2020
858,C806_2020
859,C807_2020
86,C539_2020
860,C808_2020
861,C809_2020
862,C810_2020
863,C811_2020
864,C812_2020
865,C813_2020
866,C814_2020
867,C815_2020
868,C816_2020
869,C772_2020
87,C817_2020
870,C611_2020
871,C818_2020
872,C819_2020
873,C820_2020
874,C821_2020
875,C822_2020
876,C823_2020
877,C824_2020
878,C825_2020
879,C826_2020
88,C281_2020
880,C827_2020
881,C828_2020
882,C829_2020
883,C830_2020
884,C831_2020
885,C832_2020
886,C833_2020
887,C834_2020
888,C835_2020
889,C836_2020
89,C837_2020
890,C838_2020
891,C839_2020
892,C840_2020
893,C841_2020
894,C188_2020
895,C842_2020
896,C843_2020
897,C844_2020
898,C845_2020
899,C846_2020
9,C847_2020
90,C848_2020
900,C849_2020
901,C850_2020
902,C851_2020
903,C852_2020
904,C853_2020
905,C854_2020
906,C855_2020
907,C856_2020
908,C857_2020
909,C858_2020
91,C859_2020
910,C860_2020
911,C701_2020
912,C861_2020
913,C862_2020
914,C219_2020
915,C863_2020
916,C864_2020
917,C865_2020
918,C866_2020
919,C867_2020
92,C868_2020
920,C869_2020
921,C870_2020
922,C871_2020
923,C598_2020
924,C872_2020
925,C873_2020
926,C874_2020
927,C875_2020
928,C876_2020
929,C877_2020
93,C878_2020
930,C879_2020
931,C631_2020
932,C880_2020
933,C881_2020
934,C882_2020
935,C883_2020
936,C884_2020
937,C885_2020
938,C886_2020
939,C887_2020
94,C888_2020
940,C889_2020
941,C890_2020
942,C891_2020
943,C892_2020
944,C893_2020
945,C894_2020
946,C895_2020
947,C896_2020
948,C897_2020
949,C898_2020
95,C899_2020
950,C900_2020
951,C901_2020
952,C207_2020
953,C902_2020
954,C709_2020
955,C903_2020
956,C904_2020
957,C832_2020
958,C466_2020
959,C905_2020
96,C906_2020
960,C907_2020
961,C908_2020
962,C909_2020
963,C910_2020
964,C911_2020
965,C912_2020
966,C913_2020
967,C914_2020
968,C915_2020
969,C916_2020
97,C917_2020
970,C918_2020
971,C289_2020
972,C919_2020
973,C920_2020
974,C921_2020
975,C922_2020
976,C923_2020
977,C924_2020
978,C925_2020
979,C926_2020
98,C927_2020
980,C928_2020
981,C134_2020
982,C929_2020
983,C930_2020
984,C931_2020
985,C932_2020
986,C933_2020
987,C934_2020
988,C935_2020
989,C936_2020
99,C937_2020
990,C938_2020
991,C380_2020
992,C939_2020
993,C940_2020
994,C941_2020
995,C942_2020
996,C943_2020
997,C944_2020
998,C945_2020
999,C946_2020
